epoch,train_loss,val_loss,val_accuracy,val_precision,val_recall,val_f1,lr
1,0.127657,0.021778,0.974111,0.100887,0.684046,0.175841,9.97e-04
2,0.099341,0.021637,0.969352,0.117979,0.830712,0.206614,9.89e-04
3,0.084223,0.016323,0.985551,0.165125,0.637785,0.262331,9.76e-04
4,0.074928,0.014307,0.984993,0.166561,0.763990,0.273495,9.57e-04
5,0.071475,0.014733,0.981716,0.146344,0.865816,0.250369,9.33e-04
6,0.069855,0.013409,0.984007,0.131608,0.780193,0.225224,9.05e-04
7,0.066166,0.013522,0.986659,0.181829,0.737325,0.291718,8.72e-04
8,0.066750,0.013757,0.983329,0.182277,0.912043,0.303832,8.35e-04
9,0.063089,0.012008,0.987497,0.237316,0.843234,0.370391,7.94e-04
10,0.062777,0.012756,0.987706,0.195796,0.794416,0.314162,7.50e-04
11,0.062048,0.011516,0.986385,0.193917,0.886546,0.318227,7.03e-04
12,0.063099,0.013411,0.984658,0.186906,0.855782,0.306804,6.55e-04
13,0.060154,0.013083,0.985045,0.189440,0.875233,0.311465,6.04e-04
14,0.059895,0.012012,0.987299,0.175012,0.793181,0.286754,5.52e-04
15,0.059788,0.011705,0.987728,0.175136,0.746821,0.283734,5.00e-04
16,0.059307,0.011478,0.986689,0.197175,0.856232,0.320536,4.48e-04
17,0.059552,0.012915,0.986112,0.207978,0.837967,0.333247,3.96e-04
18,0.059740,0.011067,0.987618,0.209762,0.878365,0.338651,3.45e-04
19,0.057224,0.011191,0.987168,0.189625,0.869003,0.311317,2.97e-04
20,0.058766,0.011792,0.985786,0.181341,0.868205,0.300018,2.50e-04
21,0.057857,0.011973,0.987107,0.209663,0.867521,0.337708,2.06e-04
22,0.057138,0.012332,0.986510,0.231347,0.902933,0.368324,1.65e-04
23,0.055789,0.011327,0.987854,0.216528,0.883219,0.347792,1.28e-04
24,0.056815,0.012219,0.986144,0.176092,0.847594,0.291602,9.55e-05
25,0.055995,0.011138,0.987325,0.195595,0.834099,0.316882,6.70e-05
26,0.057409,0.010874,0.987436,0.196910,0.855359,0.320125,4.32e-05
27,0.057579,0.011819,0.987015,0.191732,0.865304,0.313908,2.45e-05
28,0.056626,0.011091,0.987118,0.221303,0.911183,0.356115,1.09e-05
29,0.056063,0.011500,0.987850,0.219708,0.841958,0.348480,2.74e-06
30,0.057222,0.012075,0.986873,0.216674,0.878843,0.347639,0.00e+00
