epoch,train_loss,val_loss,rpa,rca,vdr,vfa,median_cents,lr
1,2.059038,1.788078,0.885944,0.896925,0.985757,0.402328,13.7,9.99e-04
2,1.687069,1.747253,0.896785,0.907098,0.987607,0.417318,13.1,9.96e-04
3,1.659859,1.724987,0.901328,0.911461,0.964272,0.157611,12.8,9.91e-04
4,1.644289,1.709382,0.906030,0.916026,0.977772,0.186855,12.7,9.84e-04
5,1.633769,1.698064,0.910935,0.920824,0.983965,0.188411,12.5,9.76e-04
6,1.624884,1.691459,0.913576,0.923831,0.985101,0.200688,12.2,9.65e-04
7,1.619311,1.684419,0.913081,0.923098,0.967748,0.096872,12.3,9.52e-04
8,1.611521,1.678170,0.915482,0.925863,0.969229,0.082863,12.1,9.38e-04
9,1.607695,1.672991,0.918045,0.927921,0.964218,0.071938,12.0,9.22e-04
10,1.604887,1.669643,0.918699,0.928665,0.953027,0.051100,11.9,9.05e-04
11,1.601161,1.666674,0.919658,0.929464,0.957405,0.069288,11.9,8.85e-04
12,1.599062,1.658984,0.921935,0.931724,0.953828,0.048803,11.9,8.64e-04
13,1.596612,1.661243,0.921529,0.931865,0.951616,0.048754,11.8,8.42e-04
14,1.592577,1.658820,0.922640,0.932037,0.968537,0.082547,11.8,8.19e-04
15,1.591843,1.654902,0.923619,0.933295,0.960223,0.060736,11.7,7.94e-04
16,1.590031,1.654559,0.923758,0.933304,0.962191,0.060080,11.7,7.68e-04
17,1.586235,1.649700,0.924608,0.934478,0.963763,0.065912,11.6,7.41e-04
18,1.584951,1.646158,0.926415,0.936168,0.968503,0.070946,11.5,7.13e-04
19,1.583798,1.646129,0.926588,0.936215,0.963399,0.056243,11.5,6.84e-04
20,1.582008,1.643109,0.927268,0.936794,0.962385,0.055422,11.5,6.55e-04
21,1.581995,1.640360,0.927078,0.937171,0.957699,0.043818,11.5,6.24e-04
22,1.577878,1.643382,0.926355,0.936274,0.966008,0.058471,11.5,5.94e-04
23,1.578596,1.640785,0.928002,0.937896,0.974495,0.081146,11.4,5.63e-04
24,1.576556,1.641217,0.927833,0.937727,0.968821,0.062315,11.4,5.31e-04
25,1.575560,1.639741,0.928333,0.937810,0.968961,0.066458,11.4,5.00e-04
26,1.574449,1.638556,0.928600,0.938339,0.967972,0.061201,11.4,4.69e-04
27,1.572389,1.636913,0.928903,0.938558,0.963161,0.056358,11.4,4.37e-04
28,1.572312,1.634802,0.929666,0.939042,0.964339,0.060444,11.3,4.06e-04
29,1.571474,1.635503,0.930122,0.939643,0.972283,0.068151,11.3,3.76e-04
30,1.570525,1.636768,0.928618,0.938075,0.961204,0.053383,11.4,3.45e-04
31,1.570279,1.633582,0.929507,0.939107,0.960471,0.047297,11.3,3.16e-04
32,1.569150,1.633979,0.929106,0.938641,0.964173,0.058436,11.3,2.87e-04
33,1.568484,1.633535,0.930227,0.939813,0.967673,0.061005,11.2,2.59e-04
34,1.568526,1.632410,0.930333,0.939857,0.963771,0.052507,11.2,2.32e-04
35,1.566318,1.628135,0.931699,0.940856,0.969222,0.065750,11.2,2.06e-04
36,1.567575,1.631438,0.930314,0.939462,0.963626,0.055392,11.2,1.81e-04
37,1.565604,1.631494,0.930751,0.940232,0.961082,0.050042,11.2,1.58e-04
38,1.565790,1.627379,0.931698,0.940955,0.965079,0.054603,11.2,1.36e-04
39,1.564657,1.629162,0.930975,0.940337,0.964308,0.054431,11.2,1.15e-04
40,1.565520,1.628280,0.931642,0.941012,0.962413,0.049102,11.2,9.55e-05
41,1.565187,1.628775,0.930847,0.940216,0.965685,0.055335,11.2,7.78e-05
42,1.564963,1.628376,0.931141,0.940644,0.965500,0.054596,11.2,6.18e-05
43,1.564964,1.627808,0.932012,0.941441,0.963261,0.053396,11.2,4.76e-05
44,1.563306,1.628550,0.931715,0.941074,0.964829,0.057992,11.2,3.51e-05
45,1.565531,1.625568,0.932118,0.941195,0.962840,0.054761,11.2,2.45e-05
46,1.563999,1.624768,0.932496,0.941730,0.961206,0.053201,11.2,1.57e-05
47,1.564878,1.627329,0.932015,0.941096,0.964731,0.057444,11.2,8.86e-06
48,1.564189,1.629530,0.930868,0.940447,0.965780,0.058256,11.2,3.94e-06
49,1.564337,1.627380,0.931690,0.941205,0.964465,0.054334,11.2,9.87e-07
50,1.564159,1.629208,0.930525,0.939583,0.963028,0.056206,11.2,0.00e+00
